uniqueId,teamName,condition,timezone,stageName,stageDay,goalSetComplete,firstTaskGoal,addTaskGoals,addFirstRelGoal,addRelGoals,addRelGoalsLater,Inclusion_Dimension_1,Inclusion_Dimension_2
72113286,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,5,FALSE,,,,,,,
25634481,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,1,TRUE,I will meet with SP to discuss outstanding training and set her a goal of completing 50% of training by the end of October,I will meet with CB to discuss performance and set a goal to work with a senior staff member and improve in 8 weeks,,I will praise the teams performance at staff handover today,,Uniqueness,
25634481,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,1,FALSE,,,,,,,
98873316,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,3,TRUE,I will engage in a conversation about 2025 budget and doing some things differently to reduce possible costs.,,,,,Uniqueness,
98873316,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,1,TRUE,Ask them a question about their goals at work,"Today, I'd like to get through the rest of my workday.",,,,Uniqueness,
98873316,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,4,TRUE, nothing today|I will use today to focus on appreciation,,I can reward my team members with Nectar points.,,,Uniqueness,Appreciation
98873316,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,2,TRUE,I will work with Laurie to make sure she has a chance to voice her recommendations today.,,I will affirm the contributions of two of my team members today.,,,Uniqueness,Appreciation
68537383,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,1,FALSE,,,,,,,
67530233,AcademicThunder,MCLeader,US/Eastern,Intervention,11,FALSE,,,,,,,
49938979,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,2,TRUE,I'll offer guidance to Kamel today, undefined|Meet ondividuals|Review and pffer guidance, Weekly planning meeting| Meeting| Review their work| Done|Meet with colleagues for progress report,,,Uniqueness,Appreciation
49938979,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,2,TRUE,I will explain how organizational inclusive practices are aligned with our team's goals at today's coffee-break.,,Discussing with Jamel over coffee,,,Belongingness,OrgEfforts
49938979,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,1,TRUE,So I will suggest that we develop a team building exercise,,I will arrange a team building exercise for staff this week,,,Belongingness,OrgEfforts
49938979,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,4,TRUE,Discuss further learning and development opportunities with them over coffee,,I will buy them lunch, Discuss their well being|I will meet with them to discuss their general well being,,Uniqueness,Appreciation
49938979,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,1,TRUE, Offer guidance|To offer guidance to my sunordinate,Have a meeting about progress,Buy them lunch and a coffee,Discuss the duties for next week,,Uniqueness,Appreciation
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting,2,TRUE,Give everyone the same task and allow them to do it their own way and see who did the task in the best possible manner,,,By having a 1 to 1 meeting with each member of my team and tell them about their performance and that i greatly appreciate their work and the effort they put in to their work,,Uniqueness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting,4,TRUE,Everybody will have to tell a little about themselves today by sharing a story that impacted them alot so far in life,,,Today i ll be giving all my team members gift vouchers based upon their prefrences and personalities,,Uniqueness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,3,TRUE,Asking all of my employees individually to fill out a survey in regards to how they feel being a part of the team and whether or not they fit in,,,,,Belongingness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,2,TRUE,Show my team how all of their work has affected work up the ladder to show that they are a great and valuable asset to the team,,,As one of my employees is partially permantently disabled. I ll have the team do slightly strneous tasks that may involve a bit of physicality and see how my team helps the disabled teammate accomplish the task,,Belongingness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,4,TRUE,Have the team take part in a couple of team bonding exercises by having them do tasks collectively in real time,,,Get my teammates to give me suggestions as to how to improve the team environment in order to be more productive,,Belongingness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting,1,TRUE,Have a meeting with one of my employees and discuss their past performance and train them for a better future performance,,,,,Uniqueness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting,3,TRUE,Provide them the option to study for further courses and qualifications by explaining them the benefits of doing those courses and qualifications,,,,,Uniqueness,
92559224,AcademicThunder,MCLeader,Europe/London,Goal-Setting,5,TRUE,Have all my employees solve a problem in their own ways and give a prize to the employee with the most creative solution to the problem,,,,,Uniqueness,
98840847,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,1,FALSE,,,,,,,
86785593,AcademicThunder,MCLeader,US/Pacific,Goal-Setting,1,FALSE,[No Response],,,,,Uniqueness,
69757977,AcademicThunder,MCLeader,US/Central,Goal-Setting,3,TRUE,"I am off today, which will help me recharge and be strong for tomorrow",,,,,Uniqueness,
69757977,AcademicThunder,MCLeader,US/Central,Goal-Setting,1,TRUE,I will talk with Jamie today about the report she turned in on Friday,,I will make sure to congratulate our team on their work on the the last project today,,,Uniqueness,Appreciation
69757977,AcademicThunder,MCLeader,US/Central,Goal-Setting,2,TRUE,"In pointing out positive things, I will also point out why the behavior is good for the company and what each member brings to the team",,I want to make it a point to step back and observe what they are doing and how. I was to focus on reinforcing positive things and say at least one positive thing to each of them.,,,Uniqueness,Appreciation
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,1,TRUE,Do a new project and appoint roles that focus on their unique strengths.,,,,,Uniqueness,
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,6,TRUE,Discuss a new DEI strategy with them,,Plan a DEI event for my group,,,Belongingness,OrgEfforts
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,4,TRUE,Check in with my employees on their progress,, Hire fairly and equally|Hire minorities and non-minorities equally,,,Belongingness,OrgEfforts
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,5,TRUE,Have a short meeting with each employee to check their progress and feelings,,,,,Uniqueness,
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,2,TRUE,Finish our project meeting quicker today but still be efficient,,Buy them some donuts for lunch.,,,Uniqueness,Appreciation
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,3,TRUE,"Do an activity with my employees, after a meeting, where they can brainstorm together.",,,,,Uniqueness,
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,4,TRUE,Cultivate progress through their strengths,,Give them words of affirmation,,,Uniqueness,Appreciation
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,5,TRUE, Have a company dinner|I want to have a company dinner to bring my group together,,,,,Belongingness,
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,2,TRUE,Do a fun activity together in the morning.,,Make sure we are hiring fairly,,,Belongingness,OrgEfforts
72682798,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,3,TRUE,Have a team meeting today.,,,,,Belongingness,
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,2,TRUE,I will work with AL to prioritise and complete the cashflow report.,,I will show appreciation to AL after the completion of the weekly cashflow at the end of the day.,I will recognise AL contribution towards the forecast preparation.,,Uniqueness,Appreciation
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,2,TRUE,"I will organize after work drink with the team as today is Friday. This to foster the team to get together, and have the opportunity to discuss some ideas and strategies as team.",,I will explain to LR how important it is to produce a financial statement that follows the standard and what the organisation stands for and how it can be achieved.,,,Belongingness,OrgEfforts
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,4,TRUE,I will have a short meeting with both AL and LR on the progress of their task for today. This to let both of them have an opportunity to talk about the processes.,,I will work with AL to improve some of the processes that we have been working with in the department.,I will also work with LR to complete the audit adjustment journals today.,,Belongingness,OrgEfforts
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,3,TRUE,"Organize a meeting where everyone can have opinion on what is best for the team, especially DV that does not like to speak in a team meeting.",,During the meeting today. I will bring up points to note that would enhance the productivity of the team. This will help give room to improve performance and improve how the team members are feeling about the team.,,,Belongingness,OrgEfforts
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,3,TRUE,I will offer support to AL on how to prepare the maintenance budget. I will ensure that he is confident on how to prepare it.,,I will recognise AL effort and contribution to the team. I will also thank him for his support.,,,Uniqueness,Appreciation
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,5,TRUE,I will offer guidance to BH on how to prepare financial reporting templates.,,I will acknowledge and appreciate OL contributions towards preparing of the development budget.,,,Uniqueness,Appreciation
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,4,TRUE,I will work with LR on property development budget for the 25/26 financial year.,,By appreciating my team contribution towards success completion of the month end financial accounts.,,,Uniqueness,Appreciation
59957314,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,1,TRUE,*I will offer guidance to AL on how to complete the depreciation forecast. ..* I will offer guidance to AL on how to complete the National Statistics report on the organisation purchases,,I will appreciate AL efforts towards achieving today’s goals. I will encourage AL in all areas of his works.,,,Uniqueness,Appreciation
40283857,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,1,FALSE,,,,,,,
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,4,TRUE,I will let my team know how the company appreciates their daily effort in supporting customers even in difficult situations,,"I will talk about supporting the company, team members in our evening meeting today. This shouldn't take more then 5 minutes, we will also focus on team performance and metrics since busy season is coming up and I want my team to be successful",,,Belongingness,OrgEfforts
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,3,TRUE,"Be sure to encourage employees to speak up and be their true self as much as possible, this will ensure a positive environment",,,,,Uniqueness,
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,1,TRUE,"Setting achievable goals, as we are in our busy season and have a lot of work to do",,"Making sure everyone gets acknowledged for working hard and achieving daily goals & metrics, preferably letting everyone know individually",,,Uniqueness,Appreciation
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,2,TRUE,"Encourage everyone to be theirs elves acknowledge individual strength, talk about unique performances",,Today we will have a team meeting and just have casual conversations,,,Uniqueness,Appreciation
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,3,TRUE,Let everyone know that they are part of a team that ensures the companies success & that without them we would not be where we are rn,,,,,Belongingness,
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,5,TRUE,Making sure everyone is a equal valued part of the team & everyone is important regardless of performance... be sure to mention this today,,,,,Belongingness,
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,5,TRUE,"Today I will get together and set goals for better performance during upcoming peal season, accuracy needs to be improved, talking about the individual strength team members have and how to implement them to have an overall better performance.",,,,,Uniqueness,
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,2,TRUE,Everyone is treated the same with courtesy and respect so team knows,,Do not have any goals in regards to that for today,,,Belongingness,OrgEfforts
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,6,TRUE,Nothing today because we can't work due to the hurricane,,"Right now we need to implement help for employees in emergency situations, we got hit with a hurricane and no help in sight for ppl affected",,,Belongingness,OrgEfforts
59063499,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,4,TRUE,In our meeting we will speak about how different agents handle difficult situations during work and discuss the different outcomes.. so others can see how a different approach can affect outcomes,,"Today we are having our team member appreciation calk out, each month one member gets picked, we pick by metrics, the "" winner will get an extra 15 min paid break + a gift 🎁",,,Uniqueness,Appreciation
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting-Belongingness,5,TRUE,"I will send out a brief anonymous survey by the end of today to gather feedback on how supported and included team members feel, and I will review the results tomorrow to identify areas for improvement in team belongingness",,My goal is rotating meeting facilitators and share the proposal with leadership by the end of the week.,,,Belongingness,OrgEfforts
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,1,TRUE,"Write and share personalized appreciation notes with 3 team members, highlighting their unique strengths and contributions.",,"Write and share personalized appreciation notes with 3 team members, highlighting their unique strengths and contributions.",,,Uniqueness,Appreciation
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,2,TRUE,"I will set up a monthly “Innovation Hour” where each team member can present a unique idea or approach related to QA, ensuring that every person has an opportunity to showcase their individual strengths, with the first session scheduled by the end of this month.",,"As a Software QA manager, I will recognize each team member's specific contribution during our weekly meeting for the next four weeks to boost morale and reinforce positive performance.",,,Uniqueness,Appreciation
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting-Belongingness,6,TRUE,"By the end of this week, I will create a dedicated team communication channel where members can share non-work-related interests and experiences, aiming for at least 50% team participation by the end of the following week to foster a sense of connection and belonging.",,"By the end of this week, I will review our team's current project documentation to ensure inclusive language is used, making at least three specific updates where needed, and share the revisions with the team for feedback.",,,Belongingness,OrgEfforts
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting-Belongingness,4,TRUE,"Organize monthly team-building activities that focus on collaboration and cultural exchange, ensuring at least 90% participation from team members, to foster a sense of belonging within the next 6 months.",,Ensure that 100% of team members complete an inclusive workplace training within the next 3 months to promote a more collaborative and diverse team environment.,,,Belongingness,OrgEfforts
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting-Belongingness,3,TRUE,"I will encourage team members to share their recent achievements during today’s afternoon meeting to foster mutual recognition and appreciation, ensuring that at least three people participate.",,I will review our team's current processes today to identify any potential barriers to inclusion and present one actionable suggestion for improvement during tomorrow’s leadership meeting.,,,Belongingness,OrgEfforts
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting-Belongingness,2,TRUE,Launch a peer mentorship program where each team member is paired with another for monthly check-ins to build relationships and ensure equitable support.,,Organize a 30-minute meeting to discuss how the team can incorporate inclusive practices in daily work and improve collaboration.,,,Belongingness,OrgEfforts
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,4,TRUE,"Today, I will set up a survey to ask each team member to share a unique skill or experience that they feel hasn’t been fully utilized in our current work. I will collect all responses by the end of the day and use this information to schedule 15-minute spotlight sessions for the next six weeks, ensuring each person gets a chance to share.",,"On Thursday during our team stand-up, I want to recognize James for his outstanding work in automating the test cases for our latest release. By doing so, he reduced the testing time by 20%, which allowed us to meet our project deadline ahead of schedule. I'll give him a thank-you note and a $25 gift card as a token of appreciation. My goal is to recognize one team member like this each week for the next month.",,,Uniqueness,Appreciation
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,3,TRUE,I will schedule a 30-minute coffee break with a team member by the end of the day today to discuss their interests and explore opportunities for professional growth and development.,,"I will write and personally deliver handwritten thank-you notes to 3 team members by the end of the day today, recognizing their specific contributions and achievements.",,,Uniqueness,Appreciation
68009241,PowerfulGrowth,ControlLeader,US/Pacific,Goal-Setting,5,TRUE,"Create a mentorship program where each employee is paired with a senior mentor to explore and develop a unique skill or passion related to their work, with measurable progress tracked through monthly feedback sessions over the next six months.",,"Send personalized thank-you emails to each team member highlighting one specific contribution they made this week, aiming to complete all emails by the end of the day to ensure timely recognition.",,,Uniqueness,Appreciation
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting,1,TRUE,"I will take Esther for lunch today and catch up with her, make sure she is settling down well and find out what she needs assistance with",I would like to give her a list of things we discussed and a clear plan for the upcoming weeks,,Before the day ends I will say thank you to the team for their hard work this week,,Uniqueness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting,4,TRUE,I couldn’t do this todqy,,,I thank my team for their work every day before we finish,,Uniqueness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting,3,TRUE,"Today I am really not sure, unfortunately it’s one of those days where I really want to do more but don’t have enough hours in the day",,,I have praised one of my team members today on a department meeting and she was very pleased to get the recognition,,Uniqueness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,3,TRUE,I will ensure everyone had the chance to speak on today’s team meeting,,,I will identify and document at least three new opportunities to improve inclusive practices before end of day today,,Belongingness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting,5,TRUE,I would like to find trainings for the team that would be beneficial for their roles and interests,,,,,Uniqueness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,1,TRUE,I would like to organise a team dinner,,,,,Belongingness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting-Belongingness,2,TRUE,I will get people to work on projects together with people from other departments,,,I will communicate with the team how inclusion is related to our mission and vision on today’s meeting,,Belongingness,
78279217,AcademicThunder,MCLeader,Europe/London,Goal-Setting,2,TRUE,I’m going to assign a project with a sports company to a team member who is really interested in cycling and hiking. I believe this project will align with his interests and he will do very well,,,I’m going to praise a team member for their hard work on a project,,Uniqueness,
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,4,TRUE, No|Make my team member feel appreciated,,I will develop an Employee of the Month initiative by end of the day today.,,,Uniqueness,Appreciation
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,2,TRUE,I will offer guidance to a team member today,,Acknowledging their efforts by rewarding their successes with small incentives like leaving early,,,Uniqueness,Appreciation
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,3,TRUE,I will meet with my team member,,,,,Uniqueness,
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,4,TRUE, Help my team| Help my team today.|Help my team in today’s team meeting,,I will identify and document at least three new opportunities to improve inclusive practices before lunch today.,,,Belongingness,OrgEfforts
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,2,TRUE,Making my team feel included,,I will explain to my team member how organizational inclusive practices are aligned with our team's goals at today's coffee-break.,,,Belongingness,OrgEfforts
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,5,TRUE,I will meet my team member to prioritize and schedule trainings for them after today's lunch.,,,,,Uniqueness,
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting-Belongingness,3,TRUE,I will ensure everyone has a chance to speak in today’s meeting.,,,,,Belongingness,
68897060,PowerfulGrowth,ControlLeader,Europe/London,Goal-Setting,1,TRUE,I will offer guidance to my team member today.,,,,,Uniqueness,
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,1,TRUE,Have team meetings to boost morale.,Check in with my employees more daily., Give rewards.|Start with creating team rewards.,,,Uniqueness,Appreciation
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,6,TRUE, HURRICANE HELENE| HURRICANE HELENE. NO WORK|HURRICANE HELENE. NO WORK FOR US AT ALL,,,,,Belongingness,
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,4,TRUE,Work one on one with them.,,Work work my team one on one.,,,Belongingness,OrgEfforts
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,5,TRUE,No work today due to HURRICANE HELENE,,NO WORK TODAY DUE TO HURRICANE HELENE,,,Belongingness,OrgEfforts
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,2,TRUE,Setting time goals for the work flow,,Spend more time to train some of the newer employees,,,Belongingness,OrgEfforts
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,4,TRUE,Task my associates to jobs they are super strong at,, Pizza party Friday|I'm going to throw a pizza party Friday.,,,Uniqueness,Appreciation
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,5,TRUE,Today is the pizza party to celebrate their hard work on company results.,,Today is the pizza party for my team.,,,Uniqueness,Appreciation
98312211,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,3,TRUE,Have more team meetings to build morale and connection.,,,,,Belongingness,
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting-Belongingness,6,TRUE,I will ensure everyone has a chance yo speak in the meeting,,I communicated with the team on the importance of being inclusive and what that means,I will talk to the team about team work and respecting differences,,Belongingness,OrgEfforts
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting-Belongingness,4,TRUE,I will organize a team building event,,I will explain to Maria how inclusive practice benefit her and the team,I need to have a team meeting,,Belongingness,OrgEfforts
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting-Belongingness,3,TRUE,I will organize a meet up for cross team training,I will communicate to Alex regarding a leadership opportunity,I will communicate to the team about Hispanic heritage month and the display,,,Belongingness,OrgEfforts
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting-Belongingness,2,TRUE,I will organize a team building event for Friday,,I will communicate with Felicia concerning inclusion and respect for individuals,I will communicate inclusive policy to the team,,Belongingness,OrgEfforts
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting,1,TRUE,I will show Alex how to use the ordering system this afternoon,I'd like to finish ordering and start inventory preparation,I will thank Felicia for her hard work,,,Uniqueness,Appreciation
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting,3,TRUE,I will offer guidance to our new hire,, I will praise Felicia|I will praise Felicia for her hard work,,,Uniqueness,Appreciation
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting,4,TRUE,I will not get bogged down with simple talks. Instead I'll see what tasks can be completed together,I will have an afternoon meeting to touch base,I will help Alice with her work to show her I appreciate her,I will tell Alicia she's doing a good job and thank her for her help,,Uniqueness,Appreciation
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting,5,TRUE,I will offer guidance to Alex while he orders for the first time,I will offer guidance to Jane while she trains John,I will praise Alex for his work,,,Uniqueness,Appreciation
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting-Belongingness,5,TRUE,I will organize a team to finish up housekeeping tasks,,I will explanation to Jon how inclusive practices benefit him and the company,,,Belongingness,OrgEfforts
99207000,AcademicThunder,MCLeader,US/Central,Goal-Setting,2,TRUE, Train Alex|Teach Alex how to do processes,,Remind John about the afternoon order,Tell Jane she did a great job yesterday,,Uniqueness,Appreciation
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,4,TRUE,I d like to make it specific,,,I will affirm contributions of our new hire,,Uniqueness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,6,TRUE, Achievable|I would like to show my employees they can achieve more,,,,,Belongingness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,2,FALSE, Relevant send| Done|[No Response],,, Maybe later| Relevant| Relevant send| Send| I’m not sure|I’ll be sure to thank them,,Uniqueness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,1,TRUE, Repeat| I would like specific| Done|I would like to show them they are relevant to my company,,,,,Belongingness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,3,TRUE, Repeat|I would like to highlight their specific strengths,,,,,Uniqueness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Intervention,11,FALSE,,,,,,,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting-Belongingness,5,TRUE,I would like to work on time bound,,,,,Belongingness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,1,TRUE,I would like to recognize their individual differences, undefined|I would like to show them that I see and know how hard they work,, Done| Done|I would like to show them they are needed and appreciated,,Uniqueness,
31964723,PowerfulGrowth,ControlLeader,US/Eastern,Intervention,4,TRUE,I would like to reward my employees for their achievements,,,,,,
78021467,PowerfulGrowth,ControlLeader,US/Central,Goal-Setting,5,TRUE,I will work with [team member] to establish contact with at least five minority driven businesses by the end of this week.,,,I will affirm contributions of our new hire for the project at the team-meeting today.,,Uniqueness,
78021467,PowerfulGrowth,ControlLeader,US/Central,Goal-Setting-Belongingness,3,TRUE,* I will ensure everyone has a chance to speak in today's team meeting.,,,* I will communicate with [team member] how inclusion is related to our mission and vision in today's meeting.,,Belongingness,
78021467,PowerfulGrowth,ControlLeader,US/Central,Goal-Setting,4,TRUE,I will offer guidance to [team member] at our meeting today.,,,I will develop an Employee of the Month initiative by end of the day today.,,Uniqueness,
